UUID        = 8b82175c-564a-4453-b418-f83f8606d51d
ScanDate    = 20170825_132254
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     19273254     PULS   1308 
     19273256     PULS   1314 
     19273258     PULS   1320 
     19273260     PULS   1326 
     19273262     PULS   1332 
     19273264     PULS   1339 
     19273266     PULS   1345 
     19273268     PULS   1352 
     19273270     PULS   1359 
     19273272     PULS   1366 
     19273274     PULS   1374 
     19273276     PULS   1382 
     19273278     PULS   1393 
     19273280     PULS   1406 
     19273282     PULS   1423 
     19273284     PULS   1446 
     19273286     PULS   1477 
     19273288     PULS   1517 
     19273290     PULS   1567 
     19273292     PULS   1629 
     19273294     PULS   1703 
     19273296     PULS   1788 
     19273298     PULS   1884 
     19273300     PULS   1989 
     19273302     PULS   2102 
     19273304     PULS   2220 
     19273306     PULS   2341 
     19273308     PULS   2462 
     19273310     PULS   2583 
     19273312     PULS   2701 
     19273314     PULS   2816 
     19273316     PULS   2926 
     19273318     PULS   3029 
     19273320     PULS   4095 
     19273322     PULS   4095 
     19273324     PULS   4095 
     19273326     PULS   4095 
     19273328     PULS   4095 
     19273330     PULS   4095 
     19273332     PULS   4095 
     19273334     PULS   4095 
     19273336     PULS   4095 
     19273338     PULS   4095 
     19273340     PULS   4095 
     19273342     PULS   4095 
     19273344     PULS   4095 
     19273346     PULS   4095 
     19273348     PULS   4095 
     19273350     PULS   4095 
     19273352     PULS   4095 
     19273354     PULS   4095 
     19273356     PULS   4095 
     19273358     PULS   4095 
     19273360     PULS   4095 
     19273362     PULS   4095 
     19273364     PULS   4095 
     19273366     PULS   4095 
     19273368     PULS   4095 
     19273370     PULS   4095 
     19273372     PULS   4095 
     19273374     PULS   4095 
     19273376     PULS   4095 
     19273378     PULS   4095 
     19273380     PULS   4095 
     19273382     PULS   3032 
     19273384     PULS   2984 
     19273386     PULS   2935 
     19273388     PULS   2887 
     19273390     PULS   2839 
     19273392     PULS   2791 
     19273394     PULS   2744 
     19273396     PULS   2698 
     19273398     PULS   2652 
     19273400     PULS   2607 
     19273402     PULS   2564 
     19273404     PULS   2522 
     19273406     PULS   2482 
     19273408     PULS   2443 
     19273410     PULS   2407 
     19273412     PULS   2373 
     19273414     PULS   2341 
     19273416     PULS   2312 
     19273418     PULS   2285 
